PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
2278,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2450,734.5694,452110,63-89-8,D03585,HMDB0000564,0.7058,0.3221,0.2324,0.853,7.3388,2.4249,6.6997,0.5464,6.3305,0.1913,0.3786,1.147,5.0319,0.2053,12.8979,4.9579,0.7612,1.6361
1220,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.0612,64960,154-58-5,C07326,HMDB0002712,0.4785,0.4254,0.4835,0.3849,1.7667,1.2721,2.0082,0.8261,1.6404,0.9089,0.3849,1.249,1.0097,1.0334,1.8783,0.7907,0.9903,0.3849
2836,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,44621,LC/MS Neg,100005372,6250,462.299,,,,,0.2026,0.0974,0.0974,0.1804,2.7753,0.6908,2.023,0.5778,4.8106,0.1179,1,2.7894,2.8464,0.2824,11.3727,3.4783,1.0813,0.5324
2804,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2300,724.5276,52925126,,,HMDB0011352,0.3284,0.0597,0.0597,0.2532,2.6993,0.7117,2.7483,0.0597,1.7715,0.0597,0.0597,0.2617,1.2883,0.0597,5.4394,1.8312,0.0597,0.5886
2801,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,52677,LC/MS Pos Late,100009069,2400,700.5276,52925127,,,HMDB0011343,0.2547,0.2547,0.2547,0.2547,0.4414,0.2547,1.7179,0.2547,2.2303,0.2547,0.2547,0.2547,0.6131,0.2547,1.6896,1,0.2547,0.2547
2800,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,52477,LC/MS Pos Late,100009005,2750,702.5432,52925128,,,HMDB0011342,0.1983,0.1983,0.1983,0.1983,1.2507,0.1983,1.6563,0.1983,1.6105,0.1983,0.7291,0.1983,0.757,0.1983,2.61,1,0.1983,0.3293
2833,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,52474,LC/MS Neg,100002875,6450,554.3463,10917802,,,HMDB0010407,0.3474,0.5027,0.3474,0.3474,0.3474,0.3474,0.3474,0.7515,2.3677,0.3474,1.2173,1,1.4077,0.3474,1.1545,0.3474,0.3887,0.3474
2834,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,39270,LC/MS Neg,100003000,6285,436.2833,,,,HMDB0011152,0.2735,0.2129,0.167,0.4327,2.5651,1.427,1.7156,0.6811,2.3664,0.1451,1.2116,1.9969,2.8941,0.2776,9.5532,2.1206,0.7884,0.6612
2818,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2550,752.5589,9547058,,,HMDB0005779,0.1772,0.1772,0.1772,0.2393,1.4763,0.4135,1.9361,0.1772,2.2786,0.1772,0.1772,0.1772,0.8819,0.1772,3.6665,1,0.1772,0.1772
2810,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2750,728.5589,,,,HMDB0011376,0.1992,0.1992,0.1992,0.1992,1.1304,0.1992,2.1661,0.1992,3.1333,0.1992,0.1992,0.2175,0.7825,0.1992,2.6815,0.8696,0.1992,0.1992
2838,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649,466.3292,,,,,0.5013,0.3842,0.2033,0.7173,3.2181,0.9861,1.2558,1.0139,2.9103,0.2615,0.5729,2.0487,2.1567,0.2624,5.5625,1.9394,1.4995,0.7228
2635,1-arachidonoyl-GPC* (20:4)*,Lipid,Lysophospholipid,34061,LC/MS Neg,100001551,6074,618.3413,24779476,,C05208,HMDB0010395,0.0938,3.7408,0.6762,0.604,1.4455,0.9288,1.0712,1.2736,2.93,0.0938,0.8928,2.5454,1.5154,0.0938,3.8795,0.8565,0.2677,0.318
2686,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,35186,LC/MS Neg,100001571,5874,500.2783,42607465,,,HMDB0011517,0.3815,1.3486,0.3815,0.5886,2.519,0.8148,3.0353,1.1443,2.7307,0.1058,0.8557,1.7094,1.2889,0.0841,8.3553,2.0544,0.5876,0.5667
2862,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,34397,LC/MS Neg,100001433,6250,303.2329,16019980;5282281,35474-99-8,C13857,HMDB11578,0.6733,0.1092,0.0535,0.43,2.7607,1.0636,3.8139,0.8195,10.9213,0.0462,0.3438,9.3285,5.387,0.1343,23.6583,3.7637,0.9364,1.5691
391,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.1085,,,,,0.9147,0.5617,0.776,1.0065,1.8134,0.8556,0.8719,1.0164,1.4827,1.0848,0.5637,0.6233,0.9935,0.8475,1.5645,1.4149,1.5087,1.2987
340,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.1085,,,,,0.716,0.6315,0.7201,0.8774,1.8506,0.9008,1.231,1.2323,2.237,1.0648,0.7417,0.6715,0.8927,0.9352,1.64,1.3626,1.7439,1.1392
146,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.0928,59100900,,,,0.9091,0.7683,0.6952,1.3436,1.6503,0.7393,1.0218,0.9782,2.0235,1.3937,0.8133,0.6284,1.1274,0.5546,1.7665,1.2081,2.5752,0.8366
164,1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,62564,LC/MS Neg,100020421,1846,252.0877,,,,,1.5016,0.6021,0.823,0.88,1.4811,0.8679,0.8607,1.208,1.1442,0.9941,0.5489,1.0059,1.0089,0.7346,1.307,1.4827,1.7622,0.7964
420,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.0928,,,,,1.0759,0.6243,0.8194,0.8881,1.2528,0.8822,0.9464,1.1354,1.4447,0.9881,0.6198,0.6532,1.0119,0.9364,1.3016,1.4244,1.6778,1.1039
2861,1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol,48341,LC/MS Neg,100006121,6400,305.2486,,,,,0.5864,0.0877,0.0767,0.5789,3.2892,1.0513,4.9564,0.9487,10.2058,0.0272,0.3327,6.9581,5.1956,0.1212,19.4076,3.9779,0.9462,1.0815
2866,1-docosahexaenoylglycerol (22:6),Lipid,Monoacylglycerol,35153,LC/MS Neg,100001481,6150,309.2224,53480995,,,HMDB0011587,0.2854,0.1814,0.0806,0.8051,1.3937,1,2.0255,0.4297,6.4704,0.0806,0.0806,6.7905,2.1531,0.0806,9.5307,1.5071,0.481,0.5066
2863,1-eicosapentaenoylglycerol (20:5)*,Lipid,Monoacylglycerol,53220,LC/MS Neg,100009403,6088,301.2173,53480988,,,HMDB11580,0.1962,0.1962,0.1962,0.1962,0.5628,0.1962,1.0198,0.1962,2.3619,0.1962,0.1962,1.481,0.9802,0.1962,3.0644,0.7256,0.1962,0.1962
4705,1-kestose,Xenobiotics,Food Component/Plant,22012,LC/MS Neg,100000980,1054,503.1618,6439;440080,470-69-9,C03661,HMDB0011729,1.0533,2.0767,1.8703,0.2424,0.2424,0.959,1.8021,0.7715,0.2424,1.4455,0.5712,0.7007,0.2424,1.041,0.2424,0.6367,0.2424,0.2424
2649,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,49617,LC/MS Pos Late,100002873,1907,608.465,24779481,325171-59-3,,HMDB0010405,0.1725,0.3971,0.1725,0.4061,2.0663,0.5359,1.1305,0.5043,3.3934,0.1725,0.1725,1.1991,1.6969,0.1725,3.5517,1,0.7539,0.1725
2996,1-linolenoyl-digalactosylglycerol (18:3)*,Lipid,Galactosyl Glycerolipids,62366,LC/MS Neg,100010888,5668,675.3597,10349562,,,,0.1641,2.6523,2.2941,0.1641,2.1829,0.2061,0.1641,3.1265,3.0007,0.6853,0.8384,0.8728,1,0.1641,0.1641,0.1641,0.3603,1.239
2618,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,45951,LC/MS Pos Late,100005350,1410,518.3241,,,C04100,HMDB0010388,0.5559,2.2722,1.4358,0.4733,1.4952,0.6827,1.0044,0.9956,1.3469,1.6784,1.111,2.0238,1.3769,0.7373,0.9311,0.7075,0.4196,0.7444
2591,1-linolenoyl-GPG (18:3)*,Lipid,Lysophospholipid,62368,LC/MS Neg,100020690,5421,505.2572,,,,,0.3303,1.7797,0.3303,0.3303,1.6651,0.3303,0.3303,3.1712,6.1772,0.6635,0.3945,2.5998,3.1704,0.3303,1,0.6788,0.9119,0.9637
2857,1-linolenoylglycerol (18:3),Lipid,Monoacylglycerol,34393,LC/MS Neg,100001435,6214,277.2173,53480978,124151-74-2,,HMDB0011569,0.7609,1.0821,0.7215,0.8124,1.0643,0.858,1.9365,0.9019,1.6227,0.8118,0.702,7.8285,1.7982,1.375,3.6213,0.9357,0.4985,1.193
2365,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),52710,LC/MS Pos Late,100009131,2000,806.5694,24778979,,C05208,HMDB0008147,1.0137,0.4238,0.0758,0.9863,3.1101,0.9579,6.7682,0.3561,9.3203,0.0758,0.2872,2.2224,3.2414,0.0758,16.7865,2.9592,0.5181,0.7552
2454,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,Lipid,Phosphatidylethanolamine (PE),53189,LC/MS Pos Late,100009222,2080,764.5225,348279332,,,HMDB0009102,0.3537,0.1534,0.1534,0.1534,1.1434,0.1534,2.6461,0.1534,3.8652,0.1534,0.1534,0.1534,0.9726,0.1534,5.064,1,0.1534,0.1822
2982,1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*,Lipid,Galactosyl Glycerolipids,54896,LC/MS Pos Late,100010872,2073,956.6305,,,,,0.6253,1.8972,1.6277,0.6475,1.0458,0.5867,0.7742,1.4278,0.5937,2.2043,1.0887,1.1107,1.2073,0.9542,0.8244,0.6097,0.7522,1.3026
2981,1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*,Lipid,Galactosyl Glycerolipids,54898,LC/MS Pos Late,100010878,2209,794.5777,,,,,0.64,1.5657,0.8531,0.7145,0.9284,0.9681,1.9662,0.6961,0.5798,1.9463,0.7386,1.7885,1.5768,1.4783,0.5798,1.0319,0.5798,1.033
2360,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.5538,52922731,,,HMDB0008141,1.1123,2.236,0.686,0.7996,0.8939,0.812,3.3471,0.4471,3.2624,2.1129,0.8117,1.6073,2.0167,1.0678,4.7771,0.9322,0.5345,0.8079
2995,1-linoleoyl-digalactosylglycerol (18:2)*,Lipid,Galactosyl Glycerolipids,62377,LC/MS Neg,100010887,5820,677.3754,5317594,,,,0.2423,2.6886,2.9351,0.2588,2.5669,0.3387,0.2941,3.9207,2.6891,0.698,1.4396,1.293,1.344,0.1724,0.3643,0.2035,0.707,1.7098
2989,1-linoleoyl-galactosylglycerol (18:2)*,Lipid,Galactosyl Glycerolipids,62376,LC/MS Neg,100010881,5966,515.3226,5320254,,,,0.402,1.8144,1.8696,0.407,1.2304,0.496,0.9126,1.8173,0.8679,1.9366,1.2787,1.2646,0.9781,0.6735,1.0219,0.4893,0.5541,1.0467
2616,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.3398,11988421,,C04100,HMDB0010386,0.5982,1.4922,1.231,0.7205,1.5382,0.8608,1.135,0.865,1.4011,1.6911,0.8505,2.1568,1.2996,0.8389,1.3966,0.7107,0.493,0.7669
2673,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,32635,LC/MS Neg,100001570,5900,476.2783,52925130,,,HMDB0011507,0.4569,1.0034,0.6688,0.4659,1.4096,0.624,1.896,0.9966,1.8015,1.3445,0.8722,2.4726,1.2618,0.8656,3.2523,1.0466,0.4932,0.7104
2715,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.2728,,,,,0.2951,1.5781,0.8305,0.6004,1.9649,0.6619,0.9818,2.9285,7.8752,0.9759,0.9717,3.5752,2.8805,0.4987,2.9827,0.9992,1.0008,1.21
2725,1-linoleoyl-GPI* (18:2)*,Lipid,Lysophospholipid,36594,LC/MS Neg,100001778,5494,595.2889,11124828,,,,0.6597,1.4231,1.198,0.4434,0.9464,0.6119,1.4306,0.8304,0.7903,2.9854,1.0536,9.14,1.1827,1.2661,2.9507,0.8255,0.3486,0.8304
2705,1-linoleoyl-GPS (18:2)*,Lipid,Lysophospholipid,43676,LC/MS Neg,100004606,5500,520.2681,,,,,0.5313,1,0.5989,0.5313,1.084,0.5313,0.8911,2.2223,2.6963,0.628,1.495,1.5489,1.0688,0.6148,2.5437,0.9493,0.5313,0.7363
2856,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.2329,5283469,2277-28-3,,HMDB0011568,0.7789,0.8784,0.6819,0.8743,1.1285,0.922,2.0733,0.8579,1.6903,0.8093,0.7142,9.8261,1.8128,1.4543,4.2351,1.078,0.5854,1.2976
2879,1-meadoylglycerol (20:3n9)*,Lipid,Monoacylglycerol,62431,LC/MS Neg,100020746,6450,305.2486,,,,,0.2013,0.2013,0.2013,0.2013,0.9738,0.2013,1.0262,0.2977,2.3547,0.2013,0.2013,1.6999,1.3011,0.2013,5.602,0.9337,0.2483,0.2013
91,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.0659,75810,2625-49-2,C05828,HMDB0002820,1.7067,0.7271,0.7795,2.2715,2.2686,1.2381,0.8608,1.6842,1.8203,0.8558,0.6738,0.7795,0.949,1.2784,1.051,0.8844,1.2113,0.6652
92,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.0659,6451814,4200-48-0,,HMDB04988,1.752,0.5715,1.0315,1.7169,0.9552,1.2881,0.8157,1.3543,0.4056,0.9022,1.0757,1.0893,0.8578,2.2711,0.7161,1.0856,0.9133,0.9685
93,1-methyl-5-imidazolelactate,Amino Acid,Histidine Metabolism,64596,LC/MS Pos Early,100021478,1995,171.0764,,2022510-60-5,,,1.5222,1.0572,1.2305,1.4876,1.151,0.9343,0.8181,0.8554,0.6904,1.0661,0.7298,0.6884,0.4883,1.3996,0.7328,1.0311,1.2719,0.9689
4146,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.0774,135398646,5142-22-3,C02216,HMDB0011599,1.4135,0.1484,0.3934,1.3418,1.3303,1.3229,0.3065,0.5842,1.1261,0.8739,0.5038,0.2405,0.4368,1.425,0.5759,1.4531,1.2789,1.926
4182,1-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",32395,LC/MS Neg,100001133,1643,164.0578,70315,938-85-2,,HMDB0003282,1.024,0.5754,0.5754,1.7702,0.5754,0.9656,0.5754,0.5754,0.5754,1.0108,0.5754,0.5754,0.5754,0.7857,0.5754,0.5754,1.0871,0.9892
4134,1-methylhypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",57771,LC/MS Pos Early,100004644,1530,151.0614,70765,1125-39-9,,HMDB0013141,2.0815,0.0653,0.5456,5.6714,1.1046,1.8512,0.7342,1.0664,2.2287,0.8805,0.261,0.0916,0.9336,0.8535,2.8456,1.6937,3.5804,0.5217
4314,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.0709,457,1005-24-9,C02918,HMDB0000699,5.0826,1.0082,1.1631,3.3515,1.7614,0.9918,0.5738,0.5126,2.0507,0.3124,0.2115,0.3743,0.3861,0.6442,1.0243,1.1478,0.5115,1.3873
4591,1-methylurate,Xenobiotics,Xanthine Metabolism,34395,LC/MS Neg,100001400,1099,181.0367,69726,708-79-2,C16359,HMDB0003099,0.9362,0.4346,0.4346,1.5228,1.6344,1.6186,0.4346,0.6264,1.7992,0.4346,0.4346,0.4346,0.4686,0.5559,1,1.2507,0.999,1.8434
4597,1-methylxanthine,Xenobiotics,Xanthine Metabolism,34389,LC/MS Neg,100001405,1568.8,165.0418,80220,6136-37-4,C16358,HMDB0010738,0.5307,0.4053,0.4053,0.9402,1.8054,1.1719,1.0598,0.4053,2.8444,0.4053,0.4053,0.7013,0.8607,0.4053,5.2741,1.9105,0.4053,0.547
2266,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),53195,LC/MS Pos Late,100009139,1950,754.5381,24778634,,,HMDB0007883,0.4919,0.4919,0.4919,0.4919,0.6133,0.4919,1.3867,0.4919,2.1826,0.4919,0.4919,0.4919,0.5478,0.4919,2.8684,0.4919,0.4919,0.4919
2262,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2250,706.5381,129657,69525-80-0,,HMDB0007869,0.4512,0.1399,0.0771,0.6673,5.3132,1.6646,5.3727,0.3258,5.9189,0.0771,0.2117,1,4.3034,0.0826,13.1002,3.8148,0.5033,1.327
2848,1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,35625,LC/MS Neg,100001618,6353.3,227.2016,10957631,75685-84-6,C01885,HMDB0011561,0.6455,0.6658,0.7698,1.0721,1.3093,0.9279,1.5205,0.793,2.0147,0.6819,0.6741,16.858,1.5727,0.6474,5.6876,1.1803,0.853,1.0906
2447,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),55041,LC/MS Pos Late,100009219,2200,766.5381,348281223,,,HMDB0009069,1.1382,0.2044,0.2044,0.7257,4.256,1,8.7529,0.2822,10.7709,0.2044,0.304,0.788,3.5904,0.2044,14.0468,3.389,0.3903,0.8415
2358,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2100,832.5851,24778955,,,HMDB0008123,0.496,0.0966,0.0966,0.5002,2.6339,0.5515,5.9829,0.0966,7.3091,0.0966,0.0966,1,2.0237,0.0966,10.6681,1.6617,0.23,0.3478
2348,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2250,784.5851,24778939,,,HMDB0008105,1.1593,0.9781,0.4399,0.8037,2.4307,0.8652,4.8856,0.4947,5.7958,1.0219,0.604,1.8262,3.0225,0.7328,7.024,2.1715,0.4833,0.75
2444,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),52687,LC/MS Pos Late,100009078,2270,742.5381,9546753,,,HMDB0005349,2.0321,0.5848,0.1991,0.9502,4.6317,1.0498,11.0975,0.4513,11.8983,0.3323,0.6452,1.3434,4.9119,0.3023,12.1666,4.4483,0.6362,0.86
2613,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.3554,16081932,19420-56-5,C03916,HMDB0002815,0.4851,1.1913,0.7206,0.7765,2.974,0.9663,1.2152,1.0337,3.3811,0.793,0.6612,2.5307,2.2089,0.4725,3.0912,1.3997,0.7262,0.7003
2671,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.3085,9547071,89576-29-4,,HMDB0011506,0.6816,0.5574,0.4149,0.6322,4.3853,0.8729,2.6279,1.1271,5.4172,0.6191,0.7477,4.0476,3.1376,0.4071,7.1749,3.0611,1.1871,0.8355
2713,1-oleoyl-GPG (18:1)*,Lipid,Lysophospholipid,45968,LC/MS Neg,100005716,5610,509.2885,,,,,0.2902,0.5115,0.3518,0.4041,0.9103,0.3162,0.5538,1.0897,1.9963,1.4188,1.9511,2.5739,1.6101,0.9006,2.915,0.8679,1.3287,1.3933
2723,1-oleoyl-GPI (18:1),Lipid,Lysophospholipid,36602,LC/MS Neg,100001777,5599,597.3045,86289645,,,HMDB0061693,0.7416,1.071,0.8452,0.471,1.9826,0.8372,1.4755,0.929,1.3702,1.5887,0.8345,10.9878,1.458,0.8055,4.8109,1.3132,0.5363,0.6486
2703,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,19260,LC/MS Neg,100000630,5607,522.2837,85036846,326589-90-6,,HMDB0061694,0.0984,0.0984,0.0984,0.0984,1.7172,0.3042,1.1756,0.4384,3.434,0.0984,0.0984,1.2159,0.9902,0.0984,5.22,1.0098,0.2639,0.1655
