PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
6215,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.9812,54110629;92013662,,,"HMDB0060018,HMDB0060016",2969452.75,761158.06,851460.00,1863362.88,946645.00,692356.00,321967.00,136437.00,1241173.00,258168.00,350068.00,371093.00,206167.00,534536.00,725901.00,919795.00,343621.00,288038.00
2984,"1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)",Lipid,Galactosyl Glycerolipids,54892,LC/MS Pos Late,100009392,1941,954.6149,53480666,,,HMDB0011127,111052.00,300160.00,178330.00,94073.00,94075.00,76224.00,152507.00,87942.00,73974.01,409653.00,74134.00,212610.00,152271.00,187875.00,133230.00,,,173714.00
2983,"1,2-dilinolenoyl-galactosylglycerol (18:3/18:3)*",Lipid,Galactosyl Glycerolipids,54891,LC/MS Pos Late,100010877,2046,792.562,5282287,,C13871,,197036.00,731340.00,352149.00,347312.00,164665.00,265167.00,424354.97,230924.00,,869425.00,209680.00,545334.00,349013.00,464400.00,320599.00,190580.98,132112.00,275172.00
2979,"1,2-dilinoleoyl-digalactosylglycerol (18:2/18:2)*",Lipid,Galactosyl Glycerolipids,54897,LC/MS Pos Late,100010873,2256,958.6462,,,,,1430008.00,5415359.00,5191290.00,1378941.00,3950504.00,1746114.00,2100062.00,5355061.00,2242163.00,5289820.00,3538252.25,2600997.00,3509190.75,2933913.00,2866812.00,1845899.00,2394668.00,3944686.00
2980,"1,2-dilinoleoyl-galactosylglycerol (18:2/18:2)*",Lipid,Galactosyl Glycerolipids,54899,LC/MS Pos Late,100010879,2415,796.5933,6535011,,,,3264049.00,8386798.00,4465463.00,4169320.00,3407848.00,4220980.00,4791280.00,3411823.00,3638886.00,10041160.00,3958734.00,6664713.00,6680880.00,6491410.00,5509466.00,3971981.00,3452356.75,4993693.00
2359,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2100,782.5694,5288075,998-06-1,,HMDB0008138,17314378.00,25301222.00,11029174.00,15851515.00,26781740.00,14285594.00,64538652.00,8345308.00,66198676.00,29296128.00,12602919.00,29072068.00,31846652.00,17615702.00,88980752.00,22877100.00,8813947.00,12703280.00
2452,"1,2-dilinoleoyl-GPE (18:2/18:2)*",Lipid,Phosphatidylethanolamine (PE),53174,LC/MS Pos Late,100009217,2150,740.5225,9546812,,,HMDB0009093,2036563.00,2037791.00,695132.00,1334269.00,3265447.00,1275970.00,10607422.00,751422.00,9175859.00,1916415.00,1146738.00,2297356.00,4194319.00,1323958.00,12740722.00,3700019.00,678984.00,1196964.00
2278,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2450,734.5694,452110,63-89-8,D03585,HMDB0000564,3630210.00,1656444.88,1195212.00,4387035.00,37744636.00,12471514.00,34457632.00,2810378.00,32558650.00,984059.00,1947147.00,5899277.00,25879668.00,1055758.00,66335980.00,25499394.00,3914732.00,8414476.00
1220,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.0612,64960,154-58-5,C07326,HMDB0002712,57499.00,51125.00,58095.00,,212297.00,152867.00,241314.00,99271.00,197127.00,109224.00,,150083.00,121338.00,124178.01,225710.00,95016.00,118996.00,46254.00
2836,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,44621,LC/MS Neg,100005372,6250,462.299,,,,,109992.01,52868.00,,97949.00,1506845.00,375090.00,1098367.00,313731.97,2611938.00,63994.00,542953.00,1514509.00,1545471.00,153311.00,6174835.00,1888543.00,587095.00,289094.00
2804,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2300,724.5276,52925126,,,HMDB0011352,574470.00,,,442886.00,4721778.00,1244944.00,4807519.00,,3098919.00,,,457700.00,2253607.00,,9515073.00,3203310.00,104473.00,1029585.06
2801,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,52677,LC/MS Pos Late,100009069,2400,700.5276,52925127,,,HMDB0011343,142069.00,,,,246177.00,,958083.00,,1243866.00,,,,341947.00,,942330.00,557714.00,,
2800,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,52477,LC/MS Pos Late,100009005,2750,702.5432,52925128,,,HMDB0011342,,,,,594888.00,94314.00,787809.00,,766024.00,,346809.00,,360083.00,,1241410.00,475645.00,,156621.00
2833,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,52474,LC/MS Neg,100002875,6450,554.3463,10917802,,,HMDB0010407,,51659.00,,,,35692.00,,77219.00,243288.98,,125084.01,102754.00,144642.00,,118633.00,,39945.00,
2834,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,39270,LC/MS Neg,100003000,6285,436.2833,,,,HMDB0011152,416741.00,324413.00,254436.98,659336.00,3908650.75,2174502.00,2614282.00,1037902.00,3605886.25,221111.00,1846242.00,3042842.00,4410072.00,422989.00,14557184.00,3231358.00,1201346.00,1007591.00
2818,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2550,752.5589,9547058,,,HMDB0005779,,,,314288.00,1939163.00,543168.00,2543073.00,,2993060.00,,,232805.00,1158372.00,,4816046.00,1313531.00,,
2810,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2750,728.5589,,,,HMDB0011376,146997.00,,,,834104.94,,1598364.00,,2312034.00,,,160505.00,577391.00,,1978696.00,641688.00,,
2838,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649,466.3292,,,,,599410.00,459405.00,243023.98,857640.00,3847821.00,1179023.00,1501529.00,1212345.00,3479766.00,312656.00,685022.00,2449607.00,2578713.00,313695.00,6650955.00,2318852.00,1792885.00,864193.00
2635,1-arachidonoyl-GPC* (20:4)*,Lipid,Lysophospholipid,34061,LC/MS Neg,100001551,6074,618.3413,24779476,,C05208,HMDB0010395,25221.00,1006074.00,181871.00,162436.00,388771.00,249806.00,288082.00,342534.00,787998.00,,240111.00,684580.00,407546.00,,1043363.00,230348.00,72005.00,85535.00
2686,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,35186,LC/MS Neg,100001571,5874,500.2783,42607465,,,HMDB0011517,143145.00,506010.00,143122.00,220833.02,945121.06,305727.00,1138850.00,429349.00,1024547.06,39712.00,321052.00,641380.00,483609.00,31563.00,3134925.00,770823.00,220465.00,212623.02
2862,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,34397,LC/MS Neg,100001433,6250,303.2329,16019980;5282281,35474-99-8,C13857,HMDB11578,1192737.00,193455.00,94797.00,761850.00,4890760.00,1884269.00,6756643.00,1451761.00,19348050.00,81879.00,609150.00,16526248.00,9543515.00,237963.00,41912772.00,6667813.00,1658912.00,2779781.00
391,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.1085,,,,,123348.00,75750.00,104638.00,135731.00,244543.00,115378.00,117578.00,137059.00,199937.00,146282.00,76013.00,84056.00,133969.00,114292.00,210968.00,190803.00,203452.00,175129.00
340,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.1085,,,,,124752.99,110027.00,125475.00,152876.00,322451.00,156964.00,214488.98,214718.00,389774.97,185536.00,129243.00,117009.00,155545.00,162950.00,285767.00,237428.00,303866.00,198494.00
146,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.0928,59100900,,,,143323.00,121120.00,109599.00,211820.00,260170.00,116543.01,161086.00,154207.00,319003.00,219712.00,128208.00,99066.01,177735.00,87434.00,278479.00,190457.00,405967.00,131884.00
164,1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,62564,LC/MS Neg,100020421,1846,252.0877,,,,,95247.00,38193.00,52203.00,55819.00,93949.00,55049.00,54592.00,76626.00,72576.00,63054.00,34819.00,63808.00,63996.00,46596.00,82907.00,94052.00,111780.00,50519.00
420,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.0928,,,,,234764.00,136222.00,178790.00,193788.00,273371.00,192505.00,206499.00,247749.00,315236.00,215594.00,135238.00,142518.00,220806.02,204316.00,283999.00,310810.00,366086.00,240862.00
2861,1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol,48341,LC/MS Neg,100006121,6400,305.2486,,,,,766700.00,114675.00,100336.00,756902.00,4300555.00,1374609.00,6480384.00,1240341.00,13343866.00,35570.00,434997.00,9097605.00,6793137.50,158489.00,25375018.00,5200946.00,1237119.00,1413973.00
2866,1-docosahexaenoylglycerol (22:6),Lipid,Monoacylglycerol,35153,LC/MS Neg,100001481,6150,309.2224,53480995,,,HMDB0011587,127194.00,80842.00,,358847.00,621183.00,445722.00,902789.00,191514.00,2883994.00,,35910.00,3026654.00,959666.00,,4248055.00,671738.00,214391.00,225816.00
2863,1-eicosapentaenoylglycerol (20:5)*,Lipid,Monoacylglycerol,53220,LC/MS Neg,100009403,6088,301.2173,53480988,,,HMDB11580,24210.00,,,,69458.00,,125857.00,,291481.00,,,182768.00,120959.00,,378173.00,89545.00,,
4705,1-kestose,Xenobiotics,Food Component/Plant,22012,LC/MS Neg,100000980,1054,503.1618,6439;440080,470-69-9,C03661,HMDB0011729,10203537.00,20117706.00,18118180.00,,,9290393.00,17457018.00,7473345.00,,14002766.00,5533240.00,6788069.00,2348445.00,10083920.00,,6168230.00,,
2649,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,49617,LC/MS Pos Late,100002873,1907,608.465,24779481,325171-59-3,,HMDB0010405,,190260.00,,194577.00,989973.06,256741.02,541655.00,241624.98,1625811.00,82632.00,,574510.00,813011.00,,1701642.00,479108.00,361198.00,
2996,1-linolenoyl-digalactosylglycerol (18:3)*,Lipid,Galactosyl Glycerolipids,62366,LC/MS Neg,100010888,5668,675.3597,10349562,,,,,1188513.00,1028003.06,,978183.06,92365.00,73551.00,1400986.00,1344619.00,307102.00,375684.00,391096.00,448103.00,,,,161472.00,555186.00
2618,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,45951,LC/MS Pos Late,100005350,1410,518.3241,,,C04100,HMDB0010388,600119.00,2453012.00,1550060.00,510940.97,1614256.00,737012.00,1084316.00,1074871.00,1454142.00,1811963.00,1199423.00,2184839.00,1486486.00,796023.00,1005255.00,763816.00,452989.00,803668.00
2591,1-linolenoyl-GPG (18:3)*,Lipid,Lysophospholipid,62368,LC/MS Neg,100020690,5421,505.2572,,,,,,115190.00,,21381.00,107768.00,,,205252.00,399805.00,42943.00,25534.00,168268.00,205199.00,,64723.00,43931.00,59021.00,62373.00
2857,1-linolenoylglycerol (18:3),Lipid,Monoacylglycerol,34393,LC/MS Neg,100001435,6214,277.2173,53480978,124151-74-2,,HMDB0011569,6579502.00,9357250.00,6239310.00,7025072.00,9203218.00,7419550.00,16745584.00,7798930.00,14031914.00,7020345.00,6070108.00,67696480.00,15549812.00,11890535.00,31315344.00,8091731.00,4310431.00,10316811.00
2365,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),52710,LC/MS Pos Late,100009131,2000,806.5694,24778979,,C05208,HMDB0008147,1084293.00,453333.00,,1054947.00,3326574.00,1024614.00,7239379.00,380899.00,9969162.00,,307168.00,2377170.00,3467051.00,81126.00,17955152.00,3165206.00,554186.00,807747.00
2454,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,Lipid,Phosphatidylethanolamine (PE),53189,LC/MS Pos Late,100009222,2080,764.5225,348279332,,,HMDB0009102,194217.00,,,,627849.00,,1453041.00,,2122475.00,,,84259.00,534061.00,,2780791.00,549127.00,,100029.00
2982,1-linoleoyl-2-linolenoyl-digalactosylglycerol (18:2/18:3)*,Lipid,Galactosyl Glycerolipids,54896,LC/MS Pos Late,100010872,2073,956.6305,,,,,239635.00,727005.00,623759.00,248114.00,400739.00,224840.00,296678.00,547124.00,227515.00,844703.00,417192.00,425620.97,462647.97,365675.00,315924.00,233660.00,288250.00,499167.00
2981,1-linoleoyl-2-linolenoyl-galactosylglycerol (18:2/18:3)*,Lipid,Galactosyl Glycerolipids,54898,LC/MS Pos Late,100010878,2209,794.5777,,,,,379492.00,928325.94,505850.03,423647.00,550505.00,574041.00,1165846.00,412763.00,,1154009.00,437921.00,1060469.00,934915.00,876513.00,,611825.00,343774.00,612481.00
2360,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.5538,52922731,,,HMDB0008141,1190793.00,2393860.00,734420.00,856071.00,957051.00,869288.00,3583401.00,478704.00,3492666.75,2262055.00,869023.00,1720791.00,2159038.00,1143181.13,5114354.50,998006.00,572181.00,864962.00
2995,1-linoleoyl-digalactosylglycerol (18:2)*,Lipid,Galactosyl Glycerolipids,62377,LC/MS Neg,100010887,5820,677.3754,5317594,,,,889260.00,9867998.00,10772538.00,949996.00,9421059.00,1242997.00,1079463.00,14389894.00,9869733.00,2561680.00,5283595.00,4745563.00,4932908.00,632770.00,1337132.00,746885.00,2594991.00,6275456.00
2989,1-linoleoyl-galactosylglycerol (18:2)*,Lipid,Galactosyl Glycerolipids,62376,LC/MS Neg,100010881,5966,515.3226,5320254,,,,438604.00,1979736.00,2040030.00,444126.00,1342568.00,541228.00,995820.00,1982934.00,946989.00,2113099.00,1395252.00,1379857.00,1067199.00,734837.00,1115085.00,533917.00,604625.00,1142096.00
2616,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.3398,11988421,,C04100,HMDB0010386,15040481.00,37518372.00,30949990.00,18114652.00,38675392.00,21643700.00,28536744.00,21749130.00,35228552.00,42519696.00,21384576.00,54228356.00,32676968.00,21091406.00,35114008.00,17869528.00,12394473.00,19281712.00
2673,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,32635,LC/MS Neg,100001570,5900,476.2783,52925130,,,HMDB0011507,2057789.00,4519085.00,3012324.00,2098316.00,6348607.00,2810418.00,8539342.00,4488425.00,8113535.00,6055323.00,3928275.00,11135796.00,5682674.00,3898586.00,14647643.00,4713696.00,2221455.00,3199577.00
2715,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.2728,,,,,293528.00,1569779.00,826134.00,597237.00,1954632.00,658410.00,976628.00,2913079.00,7833861.00,970780.00,966621.00,3556460.00,2865413.00,496058.00,2966995.00,994001.00,995499.00,1203663.00
2725,1-linoleoyl-GPI* (18:2)*,Lipid,Lysophospholipid,36594,LC/MS Neg,100001778,5494,595.2889,11124828,,,,451658.00,974356.00,820243.00,303561.00,647998.00,418958.97,979504.00,568544.00,541121.00,2044022.88,721328.00,6257842.50,809739.06,866834.00,2020267.00,565211.00,238687.02,568533.00
2705,1-linoleoyl-GPS (18:2)*,Lipid,Lysophospholipid,43676,LC/MS Neg,100004606,5500,520.2681,,,,,,105185.00,62995.00,,114023.00,,93735.00,233754.98,283610.00,66052.00,157251.00,162926.00,112423.99,64672.00,267562.00,99849.00,55887.00,77447.00
2856,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.2329,5283469,2277-28-3,,HMDB0011568,116387944.00,131263488.00,101899536.00,130652408.00,168637840.00,137777744.00,309816640.00,128198816.00,252582992.00,120934608.00,106731808.00,1468350208.00,270893024.00,217314736.00,632870080.00,161090064.00,87473696.00,193901776.00
2879,1-meadoylglycerol (20:3n9)*,Lipid,Monoacylglycerol,62431,LC/MS Neg,100020746,6450,305.2486,,,,,,,,,322145.00,66589.00,339471.00,98497.00,778940.00,,,562342.00,430401.00,,1853198.00,308860.00,82125.00,
91,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.0659,75810,2625-49-2,C05828,HMDB0002820,2138393.00,910982.00,976627.00,2846038.25,2842303.00,1551229.00,1078559.00,2110135.00,2280635.00,1072297.00,844240.00,976702.00,1189042.00,1601698.00,1316787.00,1108104.00,1517665.00,833491.00
92,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.0659,6451814,4200-48-0,,HMDB04988,1864239.00,608071.00,1097598.00,1826909.00,1016327.00,1370641.00,867994.00,1441070.00,431554.00,959989.00,1144545.00,1159113.00,912699.00,2416536.00,761973.00,1155086.00,971772.00,1030497.00
93,1-methyl-5-imidazolelactate,Amino Acid,Histidine Metabolism,64596,LC/MS Pos Early,100021478,1995,171.0764,,2022510-60-5,,,2944726.00,2045261.00,2380556.00,2877820.00,2226749.00,1807533.00,1582573.00,1654873.00,1335614.00,2062515.88,1411774.00,1331812.00,944625.00,2707540.00,1417694.00,1994751.88,2460520.00,1874382.00
4146,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.0774,135398646,5142-22-3,C02216,HMDB0011599,7465810.00,783829.00,2077738.13,7087056.00,7026642.00,6987362.00,1619031.00,3085905.00,5948193.00,4615616.00,2660940.00,1270415.00,2307215.00,7526868.00,3041585.00,7675036.00,6754844.00,10172711.00
4182,1-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",32395,LC/MS Neg,100001133,1643,164.0578,70315,938-85-2,,HMDB0003282,42681.00,,,73787.00,23985.00,40250.00,,,,42132.00,,,,32749.00,,,45313.00,41232.00
4134,1-methylhypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",57771,LC/MS Pos Early,100004644,1530,151.0614,70765,1125-39-9,,HMDB0013141,1941252.00,60939.00,508842.00,5289282.00,1030137.06,1726439.00,684756.00,994590.06,2078560.00,821164.00,243435.98,85387.00,870665.00,795958.00,2653850.00,1579620.00,3339195.00,486536.00
4314,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.0709,457,1005-24-9,C02918,HMDB0000699,6079042.00,1205826.88,1391127.00,4008568.00,2106752.00,1186257.00,686323.00,613047.00,2452735.00,373670.97,252994.00,447729.00,461782.00,770524.00,1225050.00,1372783.00,611791.00,1659250.00
4591,1-methylurate,Xenobiotics,Xanthine Metabolism,34395,LC/MS Neg,100001400,1099,181.0367,69726,708-79-2,C16359,HMDB0003099,82441.00,,,134091.00,143922.00,142524.00,38271.00,55159.00,158428.00,,,,41266.00,48953.00,88056.00,110128.00,87971.00,162323.00
4597,1-methylxanthine,Xenobiotics,Xanthine Metabolism,34389,LC/MS Neg,100001405,1568.8,165.0418,80220,6136-37-4,C16358,HMDB0010738,52257.00,,,92574.00,177767.00,115392.01,104356.00,39911.00,280069.00,,,69057.00,84752.00,,519317.00,188114.00,,53856.00
2266,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),53195,LC/MS Pos Late,100009139,1950,754.5381,24778634,,,HMDB0007883,,,,,215524.00,,487348.00,,767060.00,,,,192518.00,,1008059.00,172866.00,,
2262,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2250,706.5381,129657,69525-80-0,,HMDB0007869,463777.00,143767.00,79228.00,685896.00,5461215.00,1711027.00,5522418.00,334908.00,6083791.00,,217605.00,1027863.00,4423311.00,84908.00,13465256.00,3921049.00,517311.03,1363941.00
2848,1-myristoylglycerol (14:0),Lipid,Monoacylglycerol,35625,LC/MS Neg,100001618,6353.3,227.2016,10957631,75685-84-6,C01885,HMDB0011561,629890.00,649684.00,751190.00,1046133.00,1277553.00,905424.00,1483650.00,773749.00,1965935.13,665372.00,657806.00,16449646.00,1534651.00,631760.00,5549810.00,1151663.00,832309.00,1064205.00
2447,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),55041,LC/MS Pos Late,100009219,2200,766.5381,348281223,,,HMDB0009069,1310304.00,235264.00,,835487.00,4899635.00,1151223.00,10076523.00,324866.00,12399743.00,,350010.00,907195.00,4133356.00,,16171046.00,3901465.00,449342.00,968803.00
2358,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2100,832.5851,24778955,,,HMDB0008123,266621.00,,,268853.00,1415807.00,296469.00,3215940.00,,3928804.00,,51918.00,537523.00,1087770.00,,5734360.00,893197.00,123647.00,186931.00
2348,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2250,784.5851,24778939,,,HMDB0008105,24603978.00,20757774.00,9336669.00,17057722.00,51586280.00,18361956.00,103687472.00,10499894.00,123004768.00,21688264.00,12818111.00,38757492.00,64146896.00,15551665.00,149070352.00,46085108.00,10257929.00,15916363.00
2444,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),52687,LC/MS Pos Late,100009078,2270,742.5381,9546753,,,HMDB0005349,4685530.00,1348470.00,459123.00,2190939.00,10679737.00,2420671.00,25588566.00,1040704.00,27435132.00,766147.00,1487723.00,3097520.00,11325962.00,696931.00,28053722.00,10256824.00,1467012.00,1983025.00
2613,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.3554,16081932,19420-56-5,C03916,HMDB0002815,8707563.00,21381616.00,12932944.00,13937204.00,53378692.00,17342622.00,21810542.00,18553764.00,60684812.00,14232556.00,11867465.00,45420780.00,39646044.00,8480824.00,55482056.00,25121994.00,13034171.00,12568275.00
2671,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.3085,9547071,89576-29-4,,HMDB0011506,2689809.00,2199450.00,1637119.00,2494932.00,17305150.00,3444415.00,10370047.00,4447863.00,21377112.00,2443181.00,2950367.00,15972248.00,12381210.00,1606467.00,28313032.00,12079638.00,4684611.00,3297115.00
2713,1-oleoyl-GPG (18:1)*,Lipid,Lysophospholipid,45968,LC/MS Neg,100005716,5610,509.2885,,,,,278653.00,491123.00,337856.00,388045.00,874090.00,303599.00,531758.00,1046399.00,1916964.00,1362424.00,1873513.00,2471543.00,1546136.00,864760.00,2799136.00,833399.00,1275912.00,1337871.00
2723,1-oleoyl-GPI (18:1),Lipid,Lysophospholipid,36602,LC/MS Neg,100001777,5599,597.3045,86289645,,,HMDB0061693,420726.00,607615.06,479479.00,267233.00,1124782.00,474949.00,837098.00,527018.00,777365.00,901313.00,473399.00,6233570.00,827128.00,456986.00,2729278.00,744975.00,304232.00,367940.00
2703,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid,19260,LC/MS Neg,100000630,5607,522.2837,85036846,326589-90-6,,HMDB0061694,,,,34005.00,593548.00,105133.00,406357.00,151536.00,1186931.00,,,420262.00,342260.00,,1804252.00,349030.00,91221.01,57210.00
