PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,                                      Group HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
2800,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,52477,LC/MS Pos Late,100009005,2750,702.5432,52925128,,,HMDB0011342,957483,1036376.94,1080047,670295,576760,591923,896441,1126615,884863,837653,1299638,1132562,1064906,1191612,776872,1535170,1082781,945934
2802,1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*,Lipid,Plasmalogen,52716,LC/MS Pos Late,100009162,2550,718.5745,11146967,,,HMDB0011206,1084464,1152672,1143291,851503.06,798454,803104,854235,827505,803306,760211,773284,832751,953583,885121,576700,976811,743798,721623
2833,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,52474,LC/MS Neg,100002875,6450,554.3463,10917802,,,HMDB0010407,262877,,215326,311625,309488,166575,340379,343680,,,182769,247936,85384,,288336,,305356,89330
2834,1-(1-enyl-palmitoyl)-GPE (P-16:0)*,Lipid,Lysoplasmalogen,39270,LC/MS Neg,100003000,6285,436.2833,,,,HMDB0011152,629516,499162,603536,876414,795939,597803,1310214,1168814,690766,682513,826106.94,829309,729420,724685,1081339,696894,961662.94,1316641
2818,1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,Lipid,Plasmalogen,52475,LC/MS Pos Late,100008999,2550,752.5589,9547058,,,HMDB0005779,5747274,5667731,4882395,4049469,4721238,4589756,5392135,5181330,4916812,5230893,5273865,6218210,6729828,5717519,4153359,6189204,5953249,5491852
2810,1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,Lipid,Plasmalogen,52748,LC/MS Pos Late,100009225,2750,728.5589,,,,HMDB0011376,2555458,3102739,2552595,1877293,2586644,1761288,3168931,2931794.25,2596667,2405218,2659001,2653923,3569829.25,3358071,1920079.88,3935251,2961307.25,2578679
2809,1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1),Lipid,Plasmalogen,52614,LC/MS Pos Late,100008919,3100,730.5745,42607457,144371-68-6,,HMDB0011375,535836,513441,564705,252949,504957,364282,673885,583297,476537,331515,523694,544235,633678,526177,368032,611128,608451,422799
2838,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,39271,LC/MS Pos Late,100003001,1649,466.3292,,,,,145641,134063,133822,140391.02,139994,104799,212783,137521,143571,121705,135880,143944,128395,121392,146876,163628,166255,157938
2635,1-arachidonoyl-GPC* (20:4)*,Lipid,Lysophospholipid,33228,LC/MS Pos Late,100001551,1460,544.3398,24779476,,C05208,HMDB0010395,61135256,68785552,62889904,84423152,59466596,60874456,72495000,55215352,55282892,83264056,79937088,101875728,77825168,104950600,91683792,70020016,99041688,127363640
2686,1-arachidonoyl-GPE (20:4n6)*,Lipid,Lysophospholipid,35186,LC/MS Neg,100001571,5874,500.2783,42607465,,,HMDB0011517,32231294,32133234,40705076,59518160,28404646,30734436,56315904,30006544,17094426,29942854,38266048,44251224,25684200,49884320,20740254,21351196,59343152,33979920
2731,1-arachidonoyl-GPI* (20:4)*,Lipid,Lysophospholipid,34214,LC/MS Neg,100001654,5482,619.2889,121596217,,,HMDB0061690,6930334.5,5095143,7588342.5,14342915,4057940,4320170,8307229,5232777,4067382,5057387,7700681.5,10198746,4536391,9492373,3786495,3030128,8673532,7341771
2862,1-arachidonylglycerol (20:4),Lipid,Monoacylglycerol,34397,LC/MS Neg,100001433,6250,303.2329,16019980;5282281,35474-99-8,C13857,HMDB11578,1328409.88,1296728,1238697,1282142,1054623,1310182,1330204,401693,,599464,821379.94,1161693,1134869,991521,313078,912238,917694,1143792
391,1-carboxyethylisoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62558,LC/MS Neg,100020427,2628,202.1085,,,,,683799,838732,477105,396483,421520,251396,981145,359117,683584,219062.98,922811,428739,407962,372156,254909,1634004,495374.97,297028
340,1-carboxyethylleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62559,LC/MS Neg,100020425,2663,202.1085,,,,,1336072,1488923,756666.94,565080,672960,400659.97,1494273,628082,1009139,400632,1264333,526102,514153,361390,385230,2544255,694863,462028.03
146,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,62566,LC/MS Neg,100020419,2844,236.0928,59100900,,,,2811676,2182229,2065690,1464169,1823863,1256715,3612646,1705234,2083852,831052,2805648,1321264,1088532,860364,1205744,2634789,1930993,1753800
164,1-carboxyethyltyrosine,Amino Acid,Tyrosine Metabolism,62564,LC/MS Neg,100020421,1846,252.0877,,,,,652292,539461,543795,406217,533740,384904,1255768,538857,823333,218011,858772,477497,443539,336210,380235,721284.06,605317,668508
420,1-carboxyethylvaline,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",62562,LC/MS Neg,100020423,2008,188.0928,,,,,2404716,2864542,1578490.88,1191420,1362226,865863.94,3433231.25,1671021,2585194,872633,2888490,1565935,1307009,1098752,990964,6496796,1523602,1439572
2861,1-dihomo-linolenylglycerol (20:3),Lipid,Monoacylglycerol,48341,LC/MS Neg,100006121,6400,305.2486,,,,,920077,1439543,847483,1346073,550640,813009,1174059,265897,336248,851435,675011,1764974,990337.94,1635369,430212,1218351,654208,1392569
2866,1-docosahexaenoylglycerol (22:6),Lipid,Monoacylglycerol,35153,LC/MS Neg,100001481,6150,309.2224,53480995,,,HMDB0011587,407089,511178,436476,898281,104699,370085,595214,,,,107947.01,507371.03,,423706,,182027,379799,
2649,1-lignoceroyl-GPC (24:0),Lipid,Lysophospholipid,49617,LC/MS Pos Late,100002873,1907,608.465,24779481,325171-59-3,,HMDB0010405,1415705,1565090,1444011,1551972,1715739.13,1332699,1698177,1263497,1475928.13,1190216,1331983,1422882,1457070,1429457,983675,1596809,1646168,1163073
2618,1-linolenoyl-GPC (18:3)*,Lipid,Lysophospholipid,45951,LC/MS Pos Late,100005350,1410,518.3241,,,C04100,HMDB0010388,2847832,1903232.13,3153828.75,3229245,3287852.75,1905583,3676028,2543747,3072666,2805162,2802917,3258984,2640066,4024737.25,3533235,2840847,3529004,5063615
2857,1-linolenoylglycerol (18:3),Lipid,Monoacylglycerol,34393,LC/MS Neg,100001435,6214,277.2173,53480978,124151-74-2,,HMDB0011569,3274826,2359615,3291704,3414034,2072037.88,2902497,3079100,419661.03,467579,1235320,2419916,2488785,1469982,2949378.75,748863,1444854,2271204,2043597
2365,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),52710,LC/MS Pos Late,100009131,2000,806.5694,24778979,,C05208,HMDB0008147,18287300,27463192,19465140,18331744,22913724,22393992,29405712,21551844,20912022,24315216,25475124,29933342,25397094,26604370,21203988,30736434,24020300,25757392
2454,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,Lipid,Phosphatidylethanolamine (PE),53189,LC/MS Pos Late,100009222,2080,764.5225,348279332,,,HMDB0009102,747415,940637,742492,361048,734521,566345,722273.94,822230,960313,613792,694321,424103,617116,440198,831283,931053,421180,665446
2360,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),53176,LC/MS Pos Late,100009343,1939,780.5538,52922731,,,HMDB0008141,3966758,4839310,4868238,2668409,3564134,3901814,4893789,3331933,3586272,4117382,4853777,4547925,3718491,4760593,2319251,4102617.25,3989384,3024079
2587,1-linoleoyl-GPA (18:2)*,Lipid,Lysophospholipid,52690,LC/MS Neg,100009082,5483,433.2361,,,,HMDB0007856,437074,406669,573073,660789,880389,779083,892468,2993219,1077832,1211397,598445,1372846,492889,850903.06,677786,351629,2063650.88,1306850
2616,1-linoleoyl-GPC (18:2),Lipid,Lysophospholipid,34419,LC/MS Pos Late,100001395,1465,520.3398,11988421,,C04100,HMDB0010386,303291904,255284288,314354688,313920704,322855808,249940592,359761408,244843872,332602400,332892608,327038080,354500608,327795712,397634688,268459424,247963040,358429504,401380096
2673,1-linoleoyl-GPE (18:2)*,Lipid,Lysophospholipid,36600,LC/MS Pos Late,100001570,1482,478.2928,52925130,,,HMDB0011507,14491135,12111532,15911509,11769486,10527825,8567779,11362033,6685936,6795977,8225669,13921507,10501855,5594870,12994804,6666184.5,5261863,13327107,11159695
2715,1-linoleoyl-GPG (18:2)*,Lipid,Lysophospholipid,54885,LC/MS Neg,100009227,5516,507.2728,,,,,651497,512816,903477,895864,482880,595312,945200.94,502013,248965,458187,683412,793107,348368,845777,414032.97,253588,783211.94,894213
2725,1-linoleoyl-GPI* (18:2)*,Lipid,Lysophospholipid,36594,LC/MS Neg,100001778,5494,595.2889,11124828,,,,2137430,1088254,2353856,2676420,1222596,1252401,2050749,1411114,1092166,1275326,1899259.13,2087502,1083908,2215885,1067424,780377,2147952,2027571.88
2856,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol,27447,LC/MS Neg,100001040,6477,279.2329,5283469,2277-28-3,,HMDB0011568,89137512,76386792,99025528,110915136,41507768,93702272,93655376,17288196,9181386,27658224,66211584,80332104,30643704,83213600,20698592,46053244,71914824,56448560
91,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism,32350,LC/MS Pos Early,100001208,2064,141.0659,75810,2625-49-2,C05828,HMDB0002820,1223857,976495,776528,1480271,1532818.13,1340898,1681403,1925486,2885066.25,1830597,487721,1665295,1125176,1370127,941618,338597,1173708,1818516
92,1-methyl-5-imidazoleacetate,Amino Acid,Histidine Metabolism,62946,LC/MS Pos Early,100002910,1989,141.0659,6451814,4200-48-0,,HMDB04988,3102776,1976596,3252563,4940998,6645375,5237778,5721695,7150089,4718241,4502429,1807678,3713843,3408876,3827776.25,3615228,1528578,5053905,3578640
4146,1-methyladenine,Nucleotide,"Purine Metabolism, Adenine containing",1527,LC/MS Pos Early,54,2133,150.0774,135398646,5142-22-3,C02216,HMDB0011599,224075,184496,,107253,320983,160370,128231.01,179704,319517,,,77413,82666,127119,,273733,245357,413450
90,1-methylhistamine,Amino Acid,Histidine Metabolism,43831,LC/MS Pos Early,100001204,3040,126.1026,3614,501-75-7,C05127,HMDB0000898,1889335,1275845,1067893,1184986,1011053.94,1411565,1628353,3321747,1692727,1465771,1212916,997033.94,567608,879697,1080201,1423505,1665944.13,570354
71,1-methylhistidine,Amino Acid,Histidine Metabolism,30460,LC/MS Neg,100001051,1227,168.0779,92105,332-80-9,C01152,HMDB0000001,378112,651639,394321,379871.03,326157,311070,403606,344068,398307,299372,301326,324457,356383.03,370159.03,191755,385969,245510.02,239411
4314,1-methylnicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,27665,LC/MS Pos Early,55,1940,137.0709,457,1005-24-9,C02918,HMDB0000699,14158484,10451995,4579172,2932176,2400695,3226886,4757560,4511326,5091871,3724115,5737542,4397045,2744914,2198299,4046195,13634282,4813177,3859605
2266,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),53195,LC/MS Pos Late,100009139,1950,754.5381,24778634,,,HMDB0007883,608919,696755,375133,557878,747839,507689,1154077,700581,743649,472261,733727,680453,800438,774147,844143.06,820519.94,553024,873553
2262,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),19258,LC/MS Pos Late,100000672,2250,706.5381,129657,69525-80-0,,HMDB0007869,694530,1065697,662330,827926,1185543,876633,1328564,1194159,1122224,690003,1049303,1198704,1131723,1004514,1208703,1166453,1112792,1547919
2447,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),55041,LC/MS Pos Late,100009219,2200,766.5381,348281223,,,HMDB0009069,4860362,7568517,4902498,4669055,9179707,6588045,10238694,11153313,11089029,7697350.5,6452527,5103396,8681913,4777029,9327418,13640174,7914935.5,6945743
2561,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,Lipid,Phosphatidylinositol (PI),54994,LC/MS Pos Late,100010951,2568,902.5753,,,,,2920888,5295029,3161003,6241269,6764453.5,4100222,8799204,5658336,7252405,6269021.5,5287720,5688044,8094333.5,6417926.5,7923436,8604398,4954795,8057180
2358,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),52697,LC/MS Pos Late,100009130,2100,832.5851,24778955,,,HMDB0008123,18489910,33263104,21143720,28355554,30863424,26353424,41335168,38128580,31819500,26752436,23271376,33351202,38136504,32753314,34161884,41499504,31666306,33457178
2451,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,Lipid,Phosphatidylethanolamine (PE),53209,LC/MS Pos Late,100009220,2119,790.5381,52922113,,,HMDB0009078,653880,1600320,630641,912849.94,1253201.88,1031791,1485868,1667791,2112985,1351414.88,929374,731700,1711068,742998.06,1596132,2718223,984119,1244991
2348,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),52453,LC/MS Pos Late,100008981,2250,784.5851,24778939,,,HMDB0008105,66558640,77303896,72407384,75184560,94350008,75298360,107169856,88162224,86905784,84744512,76474640,87553024,100702000,80122152,113796192,93269968,66884540,120538416
2444,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),52687,LC/MS Pos Late,100009078,2270,742.5381,9546753,,,HMDB0005349,2293034,3692072,2243522,1782370,4892237,2855884,5188278,4704983,5416162,3991947,2587797,1996762,3696060,2306917,4460179,5352329,3020793,3943631.25
2613,1-oleoyl-GPC (18:1),Lipid,Lysophospholipid,48258,LC/MS Pos Late,100001272,1540,522.3554,16081932,19420-56-5,C03916,HMDB0002815,97517896,110658712,96434472,168050400,145812032,76510624,199703104,121211576,167246128,140416544,144569792,144577056,161880848,164548384,152529152,157696144,160718320,146479680
2671,1-oleoyl-GPE (18:1),Lipid,Lysophospholipid,35628,LC/MS Pos Late,100001569,1554,480.3085,9547071,89576-29-4,,HMDB0011506,2579336,2629615,2680466,3050908,3120792.25,1941384,3925349,2402518,2532349,2727015,3293405,2739168,2708713,2958721,3380358,3357694.75,3131200.75,3568374.25
2723,1-oleoyl-GPI (18:1),Lipid,Lysophospholipid,36602,LC/MS Neg,100001777,5599,597.3045,86289645,,,HMDB0061693,167682,,,267298,158742,,279555,234421,258401,161365,182523,,137854,243650,174276,125049,,362693
2855,1-oleoylglycerol (18:1),Lipid,Monoacylglycerol,21184,LC/MS Neg,100000924,6650,281.2486,5283468,111-03-5,,HMDB0011567,101186440,64788136,119486824,143275280,57937404,70483488,114182320,35081788,19567022,32824454,69011744,128360328,36961884,88710696,27838640,62088008,76144176,57706632
2310,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,Lipid,Phosphatidylcholine (PC),53180,LC/MS Pos Late,100009345,1900,754.5381,52922452,,,HMDB0008008,166271,382778,287524,557867,663738,422928,1035132,521709,819192,585482,642074,638318,709175,897874,492080,804972,585569,588882.94
2309,1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*,Lipid,Phosphatidylcholine (PC),52683,LC/MS Pos Late,100009075,2050,756.5538,24778768,,,HMDB0008006,20906352,32671732,22079626,36763196,37461168,29350066,66979012,38764392,45142632,39722520,43085752,46026568,46152624,52293624,35004428,53369160,43714876,40802716
2602,1-palmitoleoyl-GPC* (16:1)*,Lipid,Lysophospholipid,33230,LC/MS Pos Late,100001511,1450,494.3241,24779461,,,HMDB0010383,10630433,11224446,10488822,24685328,18850916,8049721,26387230,13224873,21773804,14848616,16966814,18526488,18566634,22514532,25978260,21932054,17170396,24834322
2852,1-palmitoleoylglycerol (16:1)*,Lipid,Monoacylglycerol,52431,LC/MS Neg,100008952,6094,253.2173,,,,,10223972,5804705,10526812,14977758,7844209.5,6548494,16155194,1929048.13,1660546.13,2926208,7602756.5,9950543,4198608,10997831,1919645,5430711,6574173,5940431
2297,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),52462,LC/MS Pos Late,100008914,2200,782.5694,10747814,35418-58-7,C05208,HMDB0007982,244114384,371390816,278592128,315138112,326328480,280316192,377110592,275322496,310612000,343374912,283625504,378208832,353955936,366100192,273018880,416656416,316123072,323309728
2416,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),52464,LC/MS Pos Late,100008990,2250,740.5225,9546800,,C05210,HMDB0005323,7409854,9712611,7013095,7852883,16933938,9346283,17363178,14889230,19379402,10428607,8312853.5,7373760,13963679,7253819,10456096,19337028,12714669,7748024
2539,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),52467,LC/MS Pos Late,100008993,2567,876.5597,,,,HMDB0009789,15527252,16455310,12947804,22784864,22438720,10864417,28411230,14995860,24681480,16942210,15779367,17729100,23009260,19098504,12780303,21724152,16464303,12225922
2293,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,Phosphatidylcholine (PC),52454,LC/MS Pos Late,100008985,2285,784.5851,,,,,104512456,128317160,103463696,159568976,137994240,107257920,195358800,154783696,174204144,153407344,138989488,159355328,162570768,162537920,118265432,190989504,151348560,126946280
2303,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),52610,LC/MS Pos Late,100008915,2055,806.5694,6441886,59403-54-2,,HMDB0007991,215112304,274465888,214263952,250585312,232432496,219602096,268974976,223696320,236360160,215013376,222556656,277956608,262002624,266553728,195296384,304243904,263627408,207681696
2418,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),52465,LC/MS Pos Late,100008991,2160,764.5225,9546799,,,HMDB0008946,2920192,6853298,2422760,4901747,6452321.5,5458382,6744243.5,6444675.5,9356632,6455652,3329347,4208338,8353551,4416786,4967124,12327931,6207525.5,4307081
2289,1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,Lipid,Phosphatidylcholine (PC),54812,LC/MS Pos Late,100009154,2110,756.5538,24778699,,,HMDB0007974,13853623,11482769,15488331,17457204,18509228,10045295,24881984,14818534,18622784,13558913,13481359,13448694,15012678,18057844,12938467,23323088,15926499,12258297
2286,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),42446,LC/MS Pos Late,1537,2160,758.5694,5287971,40811-94-7,,HMDB0007973,738332544,822398656,715400192,743719744,761803968,653245312,796540544,648855424,810917568,775136256,719836544,815616256,804678656,827046720,594248832,887056256,747697664,715638720
2410,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),42449,LC/MS Pos Late,100001870,2350,716.5225,9546747,,,HMDB0005322,5104143,6739318,4241418,4233685,10689269,5170751,10566356,8178015,11187466,7370754,5098136,4139862.75,7231481,4745977,5435827,10219937,6805213,4921773
2536,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),52450,LC/MS Pos Late,1528,2730,852.5597,46891795,,,HMDB0009784,7938277,7808599.5,7190167,7839525.5,9604916,5886789,10286834,5722735,7937753,7270366,7526833,7045674,8061112,7493548.5,5941389,7395058,7224020,6343347
2283,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),52461,LC/MS Pos Late,1539,2450,760.5851,6436017,26853-31-6;26853-31-6,C13875,HMDB0007972,309427776,381335424,313135008,514631680,496918496,264246528,583784384,395701952,564208576,393833632,375954624,426998656,506852928,427044352,365838656,504080928,427352576,327663872
2408,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),19263,LC/MS Pos Late,1526,2600,718.5381,5283496,26662-94-2,,HMDB0005320,2740166,3044421,2674139,1383441,5783275,1847536,4673717,3891547,4377137,2638691,2942641,2150007,3115784,2087878,3619091,3990767.25,2697626,2720302
2534,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),52669,LC/MS Pos Late,100009066,3140,854.5753,71296232,,,HMDB0009783,817679.94,836095,755642,743494,1414280,414476,1312513,808797,895495,666539,828106,572590,941203,1004079,660562,1005741,782103,590251
2279,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),52470,LC/MS Pos Late,100008984,2200,732.5538,6443788,,,HMDB0007969,15839891,16787888,14570177,34039740,37577320,13774324,55052184,26651432,45886196,20362864,24236366,25548126,34984672,28893140,23613304,34816784,26113114,20099780
2281,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),52616,LC/MS Pos Late,100008921,2750,762.6007,24778686,59403-51-9,C03889,HMDB0007970,17275296,17679414,15439071,13898334,12856067,11839955,14737606,15906409,12270858,13610295,15881589,17636808,14771418,15256193,10736215,16482561,16088857,13405052
2582,1-palmitoyl-GPA (16:0),Lipid,Lysophospholipid,34428,LC/MS Neg,100001445,5600,409.2361,6419701,17618-08-5,C04036,HMDB00327,79526,107979,111020,59343,94730,97506,163145,286344,131561,122482.99,,117381,,138685,,103721,145047,146116
2600,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid,33955,LC/MS Pos Late,100001263,1525,496.3398,86554,17364-16-8,C04102,HMDB0010382,416523296,454157760,378447712,483623360,433843936,348876064,512168992,361883424,431075648,405777600,408374944,442095040,433757120,472519168,412030848,569955520,448985856,435533376
2662,1-palmitoyl-GPE (16:0),Lipid,Lysophospholipid,35631,LC/MS Pos Late,100001567,1544,454.2928,9547069,53862-35-4,,HMDB0011503,5586980,5665019,4678563,6655263,6620191.5,4276970,8174654,4840363,6598677,5689120,5815965,5226608,6156701,5595075,4723506,7816809,6683833,4789339
2708,1-palmitoyl-GPG (16:0)*,Lipid,Lysophospholipid,45970,LC/MS Neg,100005717,5570,483.2728,3300276,,,,,,82559,120852,,,171279,64960,94057,71481,153573,161283,89504,139405,152649,,73739,265013
2717,1-palmitoyl-GPI* (16:0),Lipid,Lysophospholipid,35305,LC/MS Neg,100001655,5564,571.2889,71296207,,,HMDB0061695,455953,225984.98,285831,559429,408977,250017,751793.06,561212,725998,373227,268271,503287,406619.03,347183,328890,360688,331624,235048
